video_id,video_title,video_date,comment_text,comment_date
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Jam 2:56:39 (nih waktunya) di video mbak najwa ini 😢😢😢\nQuickCount utk tgl 14februari2024 tapi yg nongol 13februari2024😅😅😅😅 kayaknya yg bikin sistem begadang sampai malam tgl 13nya , dia bangun bangun di telpon ama pak WOWO ""cepetan woi masukin ke TV hasil kerjamu!!!""😅😅😅 sampai si karyawan LEMBAGA SURVEY lupa ngedit tgl nya utk tgl 14 di pagi harinya karna ketiduran 😂",2024-02-21T00:04:02Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Maaf kak, kalender di quick countnya jadi perdebatan 🙏",2024-02-20T19:35:44Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Assalamualaikum bu slm dua jari Prabowo ....,2024-02-20T18:18:22Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Acara gk da yg fokus,,,, mbak nana nonton video ini lg gk.... 😂😂😂😂😂😂lihat jm sama tglnya😂😂😂😂",2024-02-20T16:10:54Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Tgl nya harus di robah dulu ba najwa. Itu 13 Februari 2024. Saya baru ngeuh di menit 3:54:23,2024-02-20T15:05:26Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,😂😂😂 mba nana tertipu quick count,2024-02-20T13:00:43Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,tgl 13 feb 2024 wkwkwkwk😅😅,2024-02-20T11:46:55Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,datanya sempel tanggal 13 february,2024-02-20T10:08:04Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,It data masuk 13 February,2024-02-20T10:03:41Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,13 februari 🙄🙄,2024-02-20T06:53:04Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Ini ya yg heboh terpampang tgl 13 Feb saat Quickcount itu..😮,2024-02-20T05:48:05Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Coba perhatikan tanggal data diletakkan nya😂😂 ada yg ganjal😅. Lupa di edit yahhh mbaa😂😂😂😂😂😂,2024-02-20T04:22:03Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Coba liat menit 2 : 48 : 12, ketika ditmapilkan hasil dari indikator, itu tanggalnya 13 Februari 2024? \nSemakin meyakinkan gue dan kmrn dibahas di bocor alus tempo bahwa para pengusaha sdh tau hasil pemilu 02 menang 56% sehari sebelum pencoblosan.",2024-02-20T04:14:31Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"ternyta QC nya tgl 13 februari bukan 14 februari, liat pd menit 2.57.33, jam 12.17.28 wib\nGmn t kak Najwa Shihab",2024-02-20T03:49:06Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Anjir tgl 13 mba najwa,2024-02-19T20:36:39Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Dimenit 2:49:38 digambar data yg di bahas kok tertanggal 13 Pebruari......pemilu kan tgl 14....,2024-02-19T18:26:27Z
