Dsfezgc7bWI,Pertemuan 10 Sekjen Partai Koalisi Jokowi,2018-05-08T11:22:57Z,WAKIL,2018-05-08T17:06:43Z
Dsfezgc7bWI,Pertemuan 10 Sekjen Partai Koalisi Jokowi,2018-05-08T11:22:57Z,"Kasihan kelihatan bangettt takutnya ,padahal setiap survey menang 70% , 60 %",2018-05-08T15:27:59Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,yg kalah minta di bagi kursi??kasian,2020-05-26T19:59:13Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,Mantap prabowo 👍 mokidi👎,2019-10-08T12:59:43Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,"Semoga Prabowo tdk menghianati pendukungnya, klo smpai terjadi 2024 pindh partai ke PKS",2019-08-04T12:03:46Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,Dasar tikus kantor emang rakus jabatan semua,2019-07-30T16:12:26Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,Prabowo Subianto presiden ku,2019-07-30T03:32:33Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,"Kasian, setelah dimenangkan, skrng malah minta kusri.. hehe",2019-07-30T01:51:04Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,"Semuanya ,menawarkan ingin jadi Mentri , he he he , apakah sudah merasa punya modal jujur adil dan bertanggung jawab,!!!!  Lalu kempuan seperti apa yg dimiliki untuk memahami karakter bangsa dewasa ini,.",2019-07-30T00:44:03Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,dalam Islam. jangan beri kepemimpinan bagi orang yg meminta di jadikan pemimpin,2019-07-29T22:49:47Z
BKDX-Rf5huE,Prabowo Guncang Koalisi Jokowi | Coverstory (25/7/2019),2019-07-25T16:16:57Z,Si saidd memang menjual ormas ya...memang benar ya NU sekarang bukan NU yng dulu..NU said aqil NU(nurut udud),2019-07-29T22:27:40Z
