,video_id,video_title,video_date,comment_text,comment_date
31,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"ehem, mengganti sistem komputer? ehem",2024-09-26T16:13:21Z
32,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Panas ya ahahhaha😂,2024-09-26T16:08:12Z
33,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Jumawa kl orang jawa bilang,tdk ada yg bisa menyentuhnya ....",2024-09-26T15:08:57Z
34,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,apa anak mulyono itu authis  ya ..,2024-09-26T14:43:12Z
35,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,bapaknya masih Presiden. Dengan berani menantang rakyat yg sudah lelah dibohongi belum lg keluarga perusak hukum dinegeri ini,2024-09-26T14:30:08Z
36,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,jeh ono seng meh milih kluarga iki ???,2024-09-26T14:21:15Z
37,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"si pisang karbitan itu memang bocah yg punya masalah gangguan kejiwaan, mungkin memang sudah turunan",2024-09-26T14:18:33Z
38,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Beginilah klo keluarga biasa diberi jabatan...
Akhirnya keblinger..
Memalukan",2024-09-26T13:57:30Z
39,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,""" Putra "" Msh bgs.... Bgm  kalo manggil  ""cipirit""!",2024-09-26T13:51:32Z
40,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,petruk,2024-09-26T13:43:50Z
41,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Yg merasa ditantang .......orang tidak waras........,2024-09-26T13:06:23Z
42,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Kalau sudah bukan anak raja nanti bisa jadi loh bakalan senasib ama si Armando 😂,2024-09-26T12:05:03Z
